Epoch 1710 | Total: 3.49e-01 | Phys: 1.00e-05 | Data: 6.05e-02 | IC: 5.37e-03 | Phys/Data: 1.66e-04
Epoch 1720 | Total: 3.14e-01 | Phys: 1.30e-05 | Data: 7.99e-02 | IC: 5.05e-03 | Phys/Data: 1.63e-04
Epoch 1730 | Total: 1.60e-01 | Phys: 1.09e-05 | Data: 6.47e-02 | IC: 2.28e-03 | Phys/Data: 1.68e-04
Epoch 1740 | Total: 1.67e-01 | Phys: 1.34e-05 | Data: 4.67e-02 | IC: 2.18e-03 | Phys/Data: 2.87e-04
Epoch 1750 | Total: 1.78e-01 | Phys: 1.35e-05 | Data: 5.97e-02 | IC: 2.53e-03 | Phys/Data: 2.26e-04
Epoch 1760 | Total: 1.70e-01 | Phys: 1.27e-05 | Data: 5.25e-02 | IC: 2.51e-03 | Phys/Data: 2.42e-04
Epoch 1770 | Total: 1.64e-01 | Phys: 1.09e-05 | Data: 7.15e-02 | IC: 1.57e-03 | Phys/Data: 1.53e-04
Epoch 1780 | Total: 1.91e-01 | Phys: 1.28e-05 | Data: 6.45e-02 | IC: 2.46e-03 | Phys/Data: 1.98e-04
Epoch 1790 | Total: 7.12e-02 | Phys: 1.02e-05 | Data: 5.07e-02 | IC: 6.65e-04 | Phys/Data: 2.00e-04
Epoch 1800 | Total: 3.00e-01 | Phys: 1.33e-05 | Data: 3.97e-02 | IC: 5.35e-03 | Phys/Data: 3.35e-04
Epoch 1810 | Total: 5.81e-01 | Phys: 1.47e-05 | Data: 5.77e-02 | IC: 7.80e-03 | Phys/Data: 2.55e-04
Epoch 1820 | Total: 1.24e-01 | Phys: 1.03e-05 | Data: 6.10e-02 | IC: 1.36e-03 | Phys/Data: 1.68e-04
Epoch 1830 | Total: 3.22e-01 | Phys: 1.25e-05 | Data: 5.15e-02 | IC: 5.25e-03 | Phys/Data: 2.42e-04
Epoch 1840 | Total: 3.63e-01 | Phys: 8.06e-06 | Data: 5.49e-02 | IC: 6.41e-03 | Phys/Data: 1.47e-04
Epoch 1850 | Total: 2.60e-01 | Phys: 1.14e-05 | Data: 5.33e-02 | IC: 4.15e-03 | Phys/Data: 2.14e-04
Epoch 1860 | Total: 2.32e-01 | Phys: 1.09e-05 | Data: 5.41e-02 | IC: 3.69e-03 | Phys/Data: 2.01e-04
Epoch 1870 | Total: 2.26e-01 | Phys: 1.12e-05 | Data: 5.19e-02 | IC: 2.85e-03 | Phys/Data: 2.16e-04
Epoch 1880 | Total: 1.91e-01 | Phys: 1.16e-05 | Data: 4.74e-02 | IC: 2.75e-03 | Phys/Data: 2.45e-04
Epoch 1890 | Total: 2.03e-01 | Phys: 1.05e-05 | Data: 5.21e-02 | IC: 2.40e-03 | Phys/Data: 2.01e-04
Epoch 1900 | Total: 2.05e-01 | Phys: 1.36e-05 | Data: 4.05e-02 | IC: 2.70e-03 | Phys/Data: 3.36e-04
Epoch 1910 | Total: 4.01e-01 | Phys: 8.60e-06 | Data: 4.89e-02 | IC: 7.20e-03 | Phys/Data: 1.76e-04
Epoch 1920 | Total: 1.77e-01 | Phys: 1.12e-05 | Data: 4.13e-02 | IC: 2.50e-03 | Phys/Data: 2.70e-04
